tareas_id;servicios_id
6003;1573
6005;1573
6006;1573
6007;1573
6008;1573
6009;1573
6010;1573
6011;1573
6012;1573
6013;1573
6015;1573
6016;1573
6017;1573
6018;1573
6019;1573
6020;1573
6021;1573
6022;1573
6023;1573
6024;1573
6026;1573
6031;1573
6034;1573
6036;1573
6038;1573
6039;1573
6040;1573
6041;1573
6042;1573
6043;1573
6045;1573
6046;1573
6047;1573
6048;1573
6049;1573
6004;1574
6005;1574
6006;1574
6012;1574
6013;1574
6015;1574
6016;1574
6017;1574
6022;1574
6024;1574
6025;1574
6029;1574
6037;1574
6039;1574
6040;1574
6041;1574
6042;1574
6043;1574
6045;1574
6047;1574
6048;1574
6050;1574
6002;1575
6003;1575
6005;1575
6006;1575
6012;1575
6013;1575
6015;1575
6016;1575
6017;1575
6018;1575
6019;1575
6020;1575
6021;1575
6022;1575
6023;1575
6024;1575
6026;1575
6028;1575
6029;1575
6034;1575
6037;1575
6039;1575
6040;1575
6041;1575
6042;1575
6043;1575
6045;1575
6046;1575
6047;1575
6048;1575
6049;1575
6001;1576
6014;1577
6033;1578
6044;1579
6016;1580
6017;1580
6018;1580
6037;1580
6038;1580
6039;1580
6046;1580
6005;1581
6006;1581
6012;1581
6013;1581
6015;1581
6016;1581
6017;1581
6022;1581
6024;1581
6025;1581
6026;1581
6029;1581
6037;1581
6039;1581
6040;1581
6041;1581
6042;1581
6043;1581
6045;1581
6047;1581
6048;1581
6003;1582
6005;1582
6006;1582
6012;1582
6013;1582
6015;1582
6016;1582
6017;1582
6018;1582
6021;1582
6022;1582
6023;1582
6024;1582
6026;1582
6028;1582
6029;1582
6034;1582
6037;1582
6039;1582
6040;1582
6041;1582
6042;1582
6043;1582
6045;1582
6046;1582
6047;1582
6048;1582
6049;1582
6004;1583
6005;1583
6006;1583
6012;1583
6013;1583
6015;1583
6016;1583
6017;1583
6022;1583
6024;1583
6025;1583
6029;1583
6037;1583
6039;1583
6040;1583
6041;1583
6042;1583
6043;1583
6045;1583
6047;1583
6048;1583
6050;1583
6003;1584
6005;1584
6006;1584
6007;1584
6009;1584
6012;1584
6013;1584
6015;1584
6016;1584
6017;1584
6018;1584
6019;1584
6020;1584
6021;1584
6022;1584
6023;1584
6024;1584
6026;1584
6029;1584
6030;1584
6031;1584
6032;1584
6034;1584
6036;1584
6038;1584
6039;1584
6040;1584
6041;1584
6042;1584
6043;1584
6045;1584
6046;1584
6047;1584
6048;1584
6049;1584
6005;1585
6006;1585
6012;1585
6013;1585
6015;1585
6016;1585
6017;1585
6022;1585
6024;1585
6025;1585
6026;1585
6029;1585
6037;1585
6039;1585
6040;1585
6041;1585
6042;1585
6043;1585
6045;1585
6047;1585
6048;1585
6003;1586
6004;1586
6005;1586
6006;1586
6012;1586
6013;1586
6015;1586
6016;1586
6017;1586
6018;1586
6021;1586
6022;1586
6023;1586
6024;1586
6028;1586
6029;1586
6034;1586
6037;1586
6039;1586
6040;1586
6041;1586
6042;1586
6043;1586
6045;1586
6046;1586
6047;1586
6048;1586
6049;1586
6050;1586
6005;1587
6006;1587
6012;1587
6013;1587
6015;1587
6016;1587
6017;1587
6022;1587
6024;1587
6025;1587
6026;1587
6029;1587
6037;1587
6039;1587
6040;1587
6041;1587
6042;1587
6043;1587
6045;1587
6047;1587
6048;1587
6003;1588
6005;1588
6006;1588
6007;1588
6008;1588
6009;1588
6010;1588
6011;1588
6012;1588
6013;1588
6015;1588
6016;1588
6017;1588
6018;1588
6019;1588
6020;1588
6021;1588
6022;1588
6023;1588
6024;1588
6026;1588
6031;1588
6034;1588
